idx,transaction_id,customer_id,event_datetime,is_fraud,vl_pix,nr_idade,qt_tempo_relacionamento_mes,is_first_tx_trimestre,first_receiver_flag,burst_30m_flag,pix_key_random_flag,perfil_vulneravel_se_flag,lgbm_raw,lgbm_mapped,if_percentile,if_raw,se_score,se_patterns_count,se_worst_pattern,beh_score,beh_factors_count,cascade_triggered,cascade_rules,cascade_action,cascade_reason,peso_total,score_final,decisao,veto_aplicado,veto_reason,veto_suppressed_reason,_worker_id,seed,source_file,fp_reducibility_class,fp_reducibility_reason,next_action,flags,value_bin,relationship_bin,age_bin,lgbm_bin,if_bin,score_bin,vl_pix_num,idade_num,rel_meses_num,first_receiver_num,pix_random_num,lgbm_raw_num,if_percentile_num,se_score_num,beh_score_num,score_final_num,veto_reason_norm,veto_suppressed_reason_norm
272,E0000020820260127183841526342525,3095366183,2026-01-27 15:38:57,0,7350.0,30,39,0,0,0,0,0,0.34002398,67.92,0.997711,-0.038703,0.0,0,,0.0,0,False,,NONE,,7,72.92,CONFIRMAR,,,,2,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,VALOR_5K_PLUS|IF_EXTREMO,VL_5K_15K,REL_3_10Y,AGE_30_44,LGBM_300_PLUS,IF_995_PLUS,SCORE_CONFIRMAR,7350.0,30.0,39.0,0,0,0.34002398,0.997711,0.0,0.0,72.92,,
1256,E0000020820260207115925633362525,48415642172,2026-02-07 09:00:01,0,1098.0,56,225,1,1,0,0,0,0.30727386,66.96,0.84287,0.181981,0.0,0,,0.0,0,False,,NONE,,12,75.53,CONFIRMAR,,,,2,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_800_950,SCORE_CONFIRMAR,1098.0,56.0,225.0,1,0,0.30727386,0.84287,0.0,0.0,75.53,,
1494,E0000020820260209210251210658525,46467972000191,2026-02-09 18:03:12,0,6440.0,3,45,0,1,1,0,0,0.06171366,55.86,0.998507,-0.050582,80.0,3,COACAO_FISICA,0.0,0,False,,NONE,,27,75.14,CONFIRMAR,,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0617 < 0.30,2,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_WITH_SUPPRESSED_VETO,Existe veto suprimido; investigar por que ainda confirmou.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_EXTREMO|SE_ATIVO|VETO_SUPPRESSED,VL_5K_15K,REL_3_10Y,AGE_LT_18,LGBM_050_100,IF_995_PLUS,SCORE_CONFIRMAR,6440.0,3.0,45.0,1,0,0.06171366,0.998507,80.0,0.0,75.14,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0617 < 0.30
1252,E0000020820260227155924395861525,8082511125,2026-02-27 12:59:58,0,18000.0,11,103,1,1,0,0,0,0.88261967,83.84,0.997811,-0.042982,40.0,1,COACAO_FISICA,15.0,1,False,,NONE,,17,95.98,BLOQUEAR,True,VETO BLOQUEAR: IF extremo=99.8% + 17 pts agravantes + LGBM=88.3%,,3,42,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_42.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_EXTREMO|SE_ATIVO|BEH_ATIVO,VL_15K_PLUS,REL_3_10Y,AGE_LT_18,LGBM_300_PLUS,IF_995_PLUS,SCORE_BLOQUEAR,18000.0,11.0,103.0,1,0,0.88261967,0.997811,40.0,15.0,95.98,VETO BLOQUEAR: IF extremo=99.8% + 17 pts agravantes + LGBM=88.3%,
4,E0000020820251220105508339547525,37676911168,2025-12-20 07:55:33,0,1750.0,57,435,1,1,0,0,0,0.2944514,66.58,0.932431,0.147802,0.0,0,,0.0,0,False,,NONE,,9,73.01,CONFIRMAR,,,,0,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,1750.0,57.0,435.0,1,0,0.2944514,0.932431,0.0,0.0,73.01,,
37,E0000020820251220152339112734525,48314099104,2025-12-20 12:24:26,0,500.0,73,386,1,1,0,0,1,0.0888256,60.55,0.900189,0.164008,0.0,0,,0.0,0,False,,NONE,,7,65.55,CONFIRMAR,,,,0,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_500_999,REL_10Y_PLUS,AGE_70_PLUS,LGBM_050_100,IF_800_950,SCORE_CONFIRMAR,500.0,73.0,386.0,1,0,0.0888256,0.900189,0.0,0.0,65.55,,
150,E0000020820251221194837252228525,9497497709,2025-12-21 16:49:13,0,2748.0,44,38,1,1,0,0,0,0.44705199,71.06,0.848443,0.180581,0.0,0,,0.0,0,False,,NONE,,4,73.92,CONFIRMAR,,,,0,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_300_PLUS,IF_800_950,SCORE_CONFIRMAR,2748.0,44.0,38.0,1,0,0.44705199,0.848443,0.0,0.0,73.92,,
834,E0000020820251229164240054793525,55256937120,2025-12-29 13:42:55,0,5000.0,58,295,1,1,0,0,0,0.51090579,72.93,0.974525,0.096223,0.0,0,,15.0,1,False,,NONE,,11,80.79,CONFIRMAR,,,,0,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_ALTO|BEH_ATIVO,VL_5K_15K,REL_10Y_PLUS,AGE_45_59,LGBM_300_PLUS,IF_950_985,SCORE_CONFIRMAR,5000.0,58.0,295.0,1,0,0.51090579,0.974525,0.0,15.0,80.79,,
866,E0000020820251229204347350747525,51610515153,2025-12-29 17:44:29,0,805.0,54,400,1,1,0,0,0,0.23099469,64.72,0.815604,0.187498,0.0,0,,0.0,0,False,,NONE,,8,70.44,CONFIRMAR,,,,0,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_500_999,REL_10Y_PLUS,AGE_45_59,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,805.0,54.0,400.0,1,0,0.23099469,0.815604,0.0,0.0,70.44,,
23,E0000020820260107092038001505525,43446132600,2026-01-07 06:21:19,0,10000.0,63,422,1,1,0,0,0,0.27906953,66.13,0.988656,0.040797,40.0,1,COACAO_FISICA,15.0,1,False,,NONE,,13,75.42,CONFIRMAR,,,,1,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_EXTREMO|SE_ATIVO|BEH_ATIVO,VL_5K_15K,REL_10Y_PLUS,AGE_60_69,LGBM_200_300,IF_985_995,SCORE_CONFIRMAR,10000.0,63.0,422.0,1,0,0.27906953,0.988656,40.0,15.0,75.42,,
85,E0000020820260107175210965112525,74962760149,2026-01-07 14:52:38,0,10000.0,31,163,1,1,0,0,0,0.1011584,60.91,0.976018,0.091271,40.0,1,COACAO_FISICA,15.0,1,False,,NONE,,14,70.91,CONFIRMAR,,,,1,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_NOT_OBVIOUS,FP com sinais fortes ou mistos; cautela para não perder TP.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|VALOR_5K_PLUS|IF_ALTO|SE_ATIVO|BEH_ATIVO,VL_5K_15K,REL_10Y_PLUS,AGE_30_44,LGBM_100_200,IF_950_985,SCORE_CONFIRMAR,10000.0,31.0,163.0,1,0,0.1011584,0.976018,40.0,15.0,70.91,,
115,E0000020820260107202922535748525,6508462814,2026-01-07 17:29:43,0,900.0,63,204,1,1,0,0,0,0.20566512,63.98,0.900786,0.163816,0.0,0,,0.0,0,False,,NONE,,6,68.27,CONFIRMAR,,,,1,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_500_999,REL_10Y_PLUS,AGE_60_69,LGBM_200_300,IF_800_950,SCORE_CONFIRMAR,900.0,63.0,204.0,1,0,0.20566512,0.900786,0.0,0.0,68.27,,
1386,E0000020820260121232726324521525,715134698,2026-01-21 20:28:01,0,1000.0,45,10,1,1,0,0,0,0.30128702,66.78,0.676087,0.209362,0.0,0,,0.0,0,False,,NONE,,3,68.93,CONFIRMAR,,,,1,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|REL_CURTO,VL_1K_5K,REL_7_12M,AGE_45_59,LGBM_300_PLUS,IF_LT_800,SCORE_CONFIRMAR,1000.0,45.0,10.0,1,0,0.30128702,0.676087,0.0,0.0,68.93,,
1436,E0000020820260122191621952962525,9455322706,2026-01-22 16:16:23,0,1711.09,43,37,1,1,0,0,0,0.30523516,66.9,0.877401,0.172983,0.0,0,,0.0,0,False,,NONE,,9,73.33,CONFIRMAR,,,,1,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_300_PLUS,IF_800_950,SCORE_CONFIRMAR,1711.09,43.0,37.0,1,0,0.30523516,0.877401,0.0,0.0,73.33,,
609,E0000020820260131142258109753525,3585210171,2026-01-31 11:23:34,0,1000.0,37,119,1,1,0,0,0,0.17701858,63.14,0.806846,0.188931,0.0,0,,0.0,0,False,,NONE,,4,66.0,CONFIRMAR,,,,2,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_FIRST_RECEIVER_LOW_CONTEXT,Provável falso positivo induzido por first_receiver sem suporte de SE/BEH/IF extremo.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER,VL_1K_5K,REL_3_10Y,AGE_30_44,LGBM_100_200,IF_800_950,SCORE_CONFIRMAR,1000.0,37.0,119.0,1,0,0.17701858,0.806846,0.0,0.0,66.0,,
1471,E0000020820260209150712833670525,39292223100,2026-02-09 12:08:11,0,2000.0,55,339,0,1,1,0,0,0.07732612,60.21,0.99801,-0.045554,80.0,3,COACAO_FISICA,20.0,1,False,,NONE,,31,82.36,CONFIRMAR,,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0773 < 0.30,2,123,E:\Projetos\rebuild_pix\resultados\experimentos\EXP-006C-R2\baseline_predictions_seed_123.csv,FP_WITH_SUPPRESSED_VETO,Existe veto suprimido; investigar por que ainda confirmou.,NAO_AJUSTAR_SEM_AUDITORIA_MANUAL,FIRST_RECEIVER|IF_EXTREMO|SE_ATIVO|BEH_ATIVO|VETO_SUPPRESSED,VL_1K_5K,REL_10Y_PLUS,AGE_45_59,LGBM_050_100,IF_995_PLUS,SCORE_CONFIRMAR,2000.0,55.0,339.0,1,0,0.07732612,0.99801,80.0,20.0,82.36,,LGBM_GUARD_RAIL: VETO CONFIRMAR SE CRITICO | LGBM=0.0773 < 0.30
