feature,split_pct,gain_pct,rank_avg,perm_importance_mean,perm_rank,mean_abs_corr,mutual_info,mi_rank,levene_p,effect_size_r,mw_rank,is_near_zero_var,freq_ratio,vif,norm_split,norm_gain,norm_perm,norm_mi,norm_mw,composite_score,composite_rank,recomendacao,campo_bruto,sistema_fonte
rule_age_score,0.559000,0.003000,26.000000,0.000002,27,0.105241,0.002006,39,0.000000,0.043200,15,False,11.430000,7.890000,0.037027,0.000034,0.000752,0.147548,0.428147,0.099500,32,AVALIAR,nr_idade,AOX (Cadastro)
zscore_intervalo_aprox,0.000000,0.000000,61.000000,0.000000,59,0.075808,0.005927,14,0.049871,0.003800,66,False,45.910000,1.370000,0.000000,0.000000,0.000014,0.435854,0.037661,0.092800,33,AVALIAR,qt_intervalo_transacao_minuto,BLK (Extrato PIX)
rule_score_normalized,0.473000,0.006000,24.500000,0.000002,26,0.134421,0.001641,43,0.048545,0.042700,16,False,1.170000,,0.031331,0.000069,0.000866,0.120710,0.423191,0.092600,34,AVALIAR,DERIVADA_MULTIPLA,DERIVADA
ratio_valor_mediana,2.323000,0.021000,13.000000,0.000115,12,0.093001,0.003297,30,0.340078,0.002100,70,False,3.500000,1.450000,0.153872,0.000241,0.046185,0.242444,0.020813,0.088600,35,AVALIAR,vl_pix,BLK (Extrato PIX)
is_segmento_premium_flag,0.043000,0.000000,38.500000,0.000000,35,0.168564,0.001884,41,0.000000,0.037200,29,False,1.000000,4.040000,0.002848,0.000000,0.000014,0.138554,0.368682,0.083400,36,AVALIAR,ds_segmento,DNA (Segmentação)
rule_relationship_score,0.688000,0.006000,22.000000,0.000033,18,0.165247,0.001141,53,0.000000,0.037000,30,False,1.320000,47.760000,0.045572,0.000069,0.013508,0.083903,0.366700,0.082700,37,AVALIAR,qt_tempo_relacionamento_mes,AOX (Cadastro)
renda_missing_flag,0.000000,0.000000,61.000000,0.000000,59,0.169881,0.002701,32,0.006266,0.028200,36,False,2.450000,8.440000,0.000000,0.000000,0.000014,0.198644,0.279485,0.081700,38,AVALIAR,vl_renda_cliente,AOX (Cadastro)
vl_renda_cliente,1.290000,0.024000,16.000000,0.000007,24,0.168118,0.001638,44,0.089495,0.028600,35,False,10.910000,1.370000,0.085447,0.000276,0.002994,0.120433,0.283449,0.080400,39,AVALIAR,vl_renda_cliente,AOX (Cadastro)
topaz_risk_score,0.301000,0.003000,26.500000,0.000001,29,0.131794,0.001412,48,0.000839,0.037700,27,False,2.740000,999.000000,0.019938,0.000034,0.000582,0.103872,0.373637,0.080000,40,AVALIAR,topaz_risk_score,MBK (Mobile Banking)
zscore_valor_aprox,0.215000,0.003000,28.000000,0.000008,22,0.091850,0.004431,23,0.764190,0.007000,61,False,96.690000,2.140000,0.014241,0.000034,0.003420,0.325882,0.069376,0.078800,41,AVALIAR,vl_pix,BLK (Extrato PIX)
rule_topaz_score,0.000000,0.000000,61.000000,0.000000,59,0.131138,0.001448,47,0.068386,0.037800,26,False,2.420000,76.720000,0.000000,0.000000,0.000014,0.106510,0.374628,0.077500,42,AVALIAR,topaz_risk_score,MBK (Mobile Banking)
topaz_score_filled,0.043000,0.000000,36.500000,0.000000,31,0.131794,0.000523,65,0.000839,0.037700,27,False,2.740000,999.000000,0.002848,0.000000,0.000213,0.038482,0.373637,0.064200,43,AVALIAR,topaz_risk_score,MBK (Mobile Banking)
diff_valor_mediana,0.043000,0.014000,27.500000,0.000000,33,0.090624,0.003836,29,0.000002,0.002800,69,False,4.320000,999.000000,0.002848,0.000161,0.000014,0.282122,0.027750,0.061100,44,AVALIAR,vl_pix,BLK (Extrato PIX)
pix_over_50pct_renda_flag,0.000000,0.000000,61.000000,0.000000,59,0.106881,0.000918,60,0.000000,0.024800,39,False,10.960000,,0.000000,0.000000,0.000014,0.067486,0.245788,0.050400,45,AVALIAR,vl_pix,BLK (Extrato PIX)
is_business_hours,0.000000,0.000000,61.000000,0.000000,59,0.062121,0.001930,40,0.009936,0.014100,52,False,2.600000,4.050000,0.000000,0.000000,0.000014,0.141944,0.139742,0.049400,46,REMOVER,dt_pix,BLK (Extrato PIX)
receiver_document_same_as_customer_flag,0.000000,0.000000,61.000000,0.000000,59,0.038429,0.002303,35,0.000000,0.010100,57,True,2866.290000,,0.000000,0.000000,0.000014,0.169374,0.100099,0.048900,47,REMOVER,cd_cpf_pagador,BLK (Extrato PIX)
latencia_host_ratio,0.000000,0.000000,61.000000,0.000000,59,0.099996,0.000646,64,0.540327,0.025900,38,False,178.350000,,0.000000,0.000000,0.000014,0.047476,0.256690,0.048000,48,REMOVER,latencia_rede_ms,MBK (Mobile Banking)
distinct_receivers_so_far,0.086000,0.000000,32.000000,0.000006,25,0.099237,0.001547,45,0.004395,0.015800,51,False,5.300000,214.370000,0.005696,0.000000,0.002284,0.113789,0.156591,0.047800,49,AVALIAR,cd_cpf_cnpj_recebedor,BLK (Extrato PIX)
is_sexo_feminino_flag,0.000000,0.000000,61.000000,0.000000,59,0.060085,0.001496,46,0.199526,0.016800,50,False,1.190000,1.960000,0.000000,0.000000,0.000014,0.109989,0.166501,0.047000,50,REMOVER,ds_sexo,AOX (Cadastro)
device_missing_flag,0.301000,0.000000,30.000000,0.000000,37,0.190393,0.001075,55,0.000872,0.018200,44,False,2.640000,,0.019938,0.000000,0.000014,0.079056,0.180377,0.045900,51,AVALIAR,device_name,MBK (Mobile Banking)
tp_primeiro_envio_recebedor_trimestre,0.000000,0.000000,61.000000,0.000000,59,0.093178,0.002146,37,0.196480,0.007900,58,False,1.060000,2.300000,0.000000,0.000000,0.000014,0.157847,0.078295,0.043300,52,REMOVER,tp_primeiro_envio_recebedor_trimestre,BLK (Extrato PIX)
latencia_missing_flag,0.000000,0.000000,61.000000,0.000000,59,0.190117,0.001072,56,0.000842,0.018200,44,False,2.630000,999.000000,0.000000,0.000000,0.000014,0.078808,0.180377,0.042800,53,REMOVER,latencia_rede_ms,MBK (Mobile Banking)
distinct_keys_so_far,0.043000,0.000000,37.500000,0.000000,32,0.104360,0.001397,50,0.000844,0.013700,54,False,5.240000,210.280000,0.002848,0.000000,0.000184,0.102769,0.135778,0.041400,54,AVALIAR,ds_chave_pix,BLK (Extrato PIX)
host_time_missing_flag,0.043000,0.001000,34.500000,0.000000,33,0.190117,0.000940,59,0.000842,0.018200,44,False,2.630000,999.000000,0.002848,0.000011,0.000014,0.069096,0.180377,0.041300,55,AVALIAR,tempo_processamento_host_ms,MBK (Mobile Banking)
topaz_missing_flag,0.000000,0.000000,61.000000,0.000000,59,0.188378,0.001024,58,0.001403,0.017600,49,False,2.530000,33.870000,0.000000,0.000000,0.000014,0.075272,0.174430,0.041200,56,REMOVER,topaz_risk_score,MBK (Mobile Banking)
latencia_rede_ms_final,0.000000,0.000000,61.000000,0.000000,59,0.113308,0.000264,72,0.657465,0.024100,40,True,123.400000,739.450000,0.000000,0.000000,0.000014,0.019437,0.238850,0.039700,57,REMOVER,latencia_rede_ms,MBK (Mobile Banking)
tempo_processamento_host_ms,0.000000,0.000000,61.000000,0.000000,59,0.115295,0.000109,75,0.724066,0.023700,41,True,120.460000,43.530000,0.000000,0.000000,0.000014,0.008050,0.234886,0.036800,58,REMOVER,tempo_processamento_host_ms,MBK (Mobile Banking)
pix_over_100pct_renda_flag,0.000000,0.000000,61.000000,0.000000,59,0.102664,0.000683,63,0.000000,0.017900,48,False,11.510000,,0.000000,0.000000,0.000014,0.050202,0.177403,0.036700,59,REMOVER,vl_pix,BLK (Extrato PIX)
tempo_interacao_missing_flag,0.000000,0.000000,61.000000,0.000000,59,,0.002351,34,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.172887,0.000000,0.034600,60,REMOVER,tempo_interacao_ms,MBK (Mobile Banking)
hour,1.591000,0.007000,19.000000,0.000035,17,0.041135,0.000813,61,0.005500,0.001500,72,False,1.050000,10.340000,0.105385,0.000080,0.014076,0.059811,0.014866,0.034200,61,AVALIAR,dt_pix,BLK (Extrato PIX)
pix_key_document_flag,0.000000,0.000000,61.000000,0.000000,59,0.082530,0.000349,67,0.000803,0.018000,47,False,2.820000,,0.000000,0.000000,0.000014,0.025635,0.178394,0.031900,62,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
app_version_missing_flag,0.000000,0.000000,61.000000,0.000000,59,0.190393,0.000328,69,0.000872,0.018200,44,False,2.640000,460.440000,0.000000,0.000000,0.000014,0.024090,0.180377,0.031900,62,REMOVER,app_version,MBK (Mobile Banking)
metodo_auth_encoded,0.000000,0.000000,61.000000,0.000000,59,,0.002121,38,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.155941,0.000000,0.031200,64,REMOVER,metodo_autenticacao,MBK (Mobile Banking)
app_version_minor,0.000000,0.000000,61.000000,0.000000,59,0.043633,0.001295,51,0.077208,0.006300,63,False,10.470000,149.020000,0.000000,0.000000,0.000014,0.095236,0.062438,0.028400,65,REMOVER,app_version,MBK (Mobile Banking)
qt_envio_recebedor_trimestre,0.086000,0.005000,28.500000,0.000039,16,0.115066,0.000348,68,0.135284,0.011400,56,False,3.440000,1.430000,0.005696,0.000057,0.015807,0.025598,0.112983,0.027700,66,AVALIAR,qt_envio_recebedor_trimestre,BLK (Extrato PIX)
auth_method_missing_flag,0.000000,0.000000,61.000000,0.000000,59,0.071209,0.001680,42,0.708510,0.001800,71,False,4.550000,,0.000000,0.000000,0.000014,0.123559,0.017839,0.027400,67,REMOVER,metodo_autenticacao,MBK (Mobile Banking)
rule_random_key_score,0.000000,0.000000,61.000000,0.000000,59,0.108387,0.001110,54,0.264683,0.007300,60,False,1.200000,53.830000,0.000000,0.000000,0.000014,0.081657,0.072349,0.027200,68,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
pix_key_other_flag,0.000000,0.000000,61.000000,0.000000,59,0.060880,0.000297,70,0.009002,0.013800,53,False,3.070000,,0.000000,0.000000,0.000014,0.021868,0.136769,0.024900,69,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
day_of_week,0.000000,0.000000,61.000000,0.000000,59,0.035488,0.000687,62,0.257662,0.007700,59,False,1.000000,3.330000,0.000000,0.000000,0.000014,0.050511,0.076313,0.021600,70,REMOVER,dt_pix,BLK (Extrato PIX)
pix_key_random_flag,0.000000,0.000000,61.000000,0.000000,59,0.110559,0.001035,57,0.597526,0.003200,68,False,1.350000,28.010000,0.000000,0.000000,0.000014,0.076097,0.031715,0.020000,71,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
pix_key_email_flag,0.000000,0.000000,61.000000,0.000000,59,0.034633,0.000264,73,0.025532,0.006800,62,False,14.290000,,0.000000,0.000000,0.000014,0.019387,0.067393,0.014000,72,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
pix_key_missing_flag_derived,0.000000,0.000000,61.000000,0.000000,59,0.032565,0.000000,78,0.000000,0.005700,64,True,742.370000,,0.000000,0.000000,0.000014,0.000000,0.056492,0.008500,73,REMOVER,ds_tipo_chave,BLK (Extrato PIX)
perfil_vulneravel_se_flag,0.000000,0.000000,61.000000,0.000000,59,0.057445,0.000412,66,0.861284,0.000300,73,True,58.740000,,0.000000,0.000000,0.000014,0.030317,0.002973,0.006500,74,REMOVER,nr_idade,AOX (Cadastro)
is_viuvo_flag,0.000000,0.000000,61.000000,0.000000,59,0.062737,0.000000,78,0.152184,0.003900,65,False,18.370000,,0.000000,0.000000,0.000014,0.000000,0.038652,0.005800,75,REMOVER,ds_estado_civil,AOX (Cadastro)
is_login_senha_flag,0.000000,0.000000,61.000000,0.000000,59,,0.000291,71,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.021420,0.000000,0.004300,76,REMOVER,metodo_autenticacao,MBK (Mobile Banking)
is_agendamento_recorrente_flag,0.000000,0.000000,61.000000,0.000000,59,,0.000192,74,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.014097,0.000000,0.002800,77,REMOVER,is_agendamento_recorrente,MBK (Mobile Banking)
qt_dependentes,0.000000,0.000000,61.000000,0.000000,59,,0.000000,78,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000,79,REMOVER,qt_dependentes,AOX (Cadastro)
is_login_biometria_flag,0.000000,0.000000,61.000000,0.000000,59,,0.000000,78,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000,79,REMOVER,metodo_autenticacao,MBK (Mobile Banking)
topaz_rejeitada_flag,0.000000,0.000000,61.000000,0.000000,59,,0.000000,78,,0.000000,77,True,20071.000000,,0.000000,0.000000,0.000014,0.000000,0.000000,0.000000,79,REMOVER,topaz_transacao_rejeitada,MBK (Mobile Banking)
